{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.7}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': '1673852980', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/'}
{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.7}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': 1673852981, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/', 'seed': 0}
Pre-process:   0%|          | 0/188 [00:00<?, ?it/s]Pre-process:  48%|████▊     | 91/188 [00:00<00:00, 904.01it/s]Pre-process:  99%|█████████▉| 186/188 [00:00<00:00, 926.55it/s]Pre-process: 100%|██████████| 188/188 [00:00<00:00, 922.55it/s]
Basis total: 16
train_set : test_set = %d : %d 169 19
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=f211370258ca049dc165beff1fbd5d5c32dbdae1
With batch_norm.
With edge_softmax.
#Params: 933379
Epoch: 001, Train Loss: 0.9904865, Train Acc: 0.6627219, Test Acc: 0.7894737
Epoch: 002, Train Loss: 0.9430346, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 003, Train Loss: 0.8955093, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 004, Train Loss: 0.8322441, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 005, Train Loss: 0.7741253, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 006, Train Loss: 0.7195304, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 007, Train Loss: 0.6742686, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 008, Train Loss: 0.6468848, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 009, Train Loss: 0.6156033, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 010, Train Loss: 0.5904169, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 011, Train Loss: 0.5509441, Train Acc: 0.6863905, Test Acc: 0.7894737
Epoch: 012, Train Loss: 0.5279243, Train Acc: 0.6686391, Test Acc: 0.6842105
Epoch: 013, Train Loss: 0.4496655, Train Acc: 0.8461538, Test Acc: 0.9473684
Epoch: 014, Train Loss: 0.6819547, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 015, Train Loss: 0.3725815, Train Acc: 0.8520710, Test Acc: 0.8421053
Epoch: 016, Train Loss: 0.3696906, Train Acc: 0.8461538, Test Acc: 0.8421053
Epoch: 017, Train Loss: 0.4286830, Train Acc: 0.7928994, Test Acc: 0.8421053
Epoch: 018, Train Loss: 0.3162316, Train Acc: 0.8816568, Test Acc: 0.8947368
Epoch: 019, Train Loss: 0.3410979, Train Acc: 0.8461538, Test Acc: 0.8421053
Epoch: 020, Train Loss: 0.3727180, Train Acc: 0.8402367, Test Acc: 0.7894737
Epoch: 021, Train Loss: 0.3138106, Train Acc: 0.8757396, Test Acc: 0.8421053
Epoch: 022, Train Loss: 0.6337442, Train Acc: 0.6982249, Test Acc: 0.6842105
Epoch: 023, Train Loss: 0.9200078, Train Acc: 0.5029586, Test Acc: 0.4736842
Epoch: 024, Train Loss: 0.3121710, Train Acc: 0.8816568, Test Acc: 0.8421053
Epoch: 025, Train Loss: 1.2047501, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 026, Train Loss: 0.3785104, Train Acc: 0.8579882, Test Acc: 0.8421053
Epoch: 027, Train Loss: 0.3446724, Train Acc: 0.8461538, Test Acc: 0.8947368
Epoch: 028, Train Loss: 0.2962834, Train Acc: 0.8875740, Test Acc: 0.7368421
Epoch: 029, Train Loss: 0.3735396, Train Acc: 0.8106509, Test Acc: 0.7368421
Epoch: 030, Train Loss: 0.3092907, Train Acc: 0.8816568, Test Acc: 0.8421053
Epoch: 031, Train Loss: 0.6216675, Train Acc: 0.6508876, Test Acc: 0.6315789
Epoch: 032, Train Loss: 0.3645231, Train Acc: 0.8106509, Test Acc: 0.7894737
Epoch: 033, Train Loss: 0.2426713, Train Acc: 0.9053254, Test Acc: 0.8421053
Epoch: 034, Train Loss: 0.2361246, Train Acc: 0.9171598, Test Acc: 0.8421053
Epoch: 035, Train Loss: 0.3371270, Train Acc: 0.8816568, Test Acc: 0.8421053
Epoch: 036, Train Loss: 0.2666496, Train Acc: 0.8875740, Test Acc: 0.7894737
Epoch: 037, Train Loss: 0.6676575, Train Acc: 0.6982249, Test Acc: 0.6842105
Epoch: 038, Train Loss: 0.2387291, Train Acc: 0.8816568, Test Acc: 0.8421053
Epoch: 039, Train Loss: 0.4192092, Train Acc: 0.8106509, Test Acc: 0.6842105
Epoch: 040, Train Loss: 0.2978838, Train Acc: 0.8934911, Test Acc: 0.7894737
Epoch: 041, Train Loss: 0.2478674, Train Acc: 0.9053254, Test Acc: 0.7368421
Epoch: 042, Train Loss: 0.5860756, Train Acc: 0.6745562, Test Acc: 0.5789474
Epoch: 043, Train Loss: 0.3852224, Train Acc: 0.8106509, Test Acc: 0.6842105
Epoch: 044, Train Loss: 0.1951826, Train Acc: 0.8875740, Test Acc: 0.7894737
Epoch: 045, Train Loss: 0.3147949, Train Acc: 0.8934911, Test Acc: 0.6842105
Epoch: 046, Train Loss: 0.4063160, Train Acc: 0.8698225, Test Acc: 0.9473684
Epoch: 047, Train Loss: 0.2153673, Train Acc: 0.8934911, Test Acc: 0.7894737
Epoch: 048, Train Loss: 0.2635346, Train Acc: 0.8816568, Test Acc: 0.7368421
Epoch: 049, Train Loss: 0.2716750, Train Acc: 0.8994083, Test Acc: 0.7894737
Epoch: 050, Train Loss: 0.2976976, Train Acc: 0.8579882, Test Acc: 0.8421053
Epoch: 051, Train Loss: 0.2512982, Train Acc: 0.8875740, Test Acc: 0.7894737
Epoch: 052, Train Loss: 0.1920374, Train Acc: 0.9349112, Test Acc: 0.7894737
Epoch: 053, Train Loss: 0.1531576, Train Acc: 0.9467456, Test Acc: 0.7894737
Epoch: 054, Train Loss: 0.1695469, Train Acc: 0.9230769, Test Acc: 0.7894737
Epoch: 055, Train Loss: 0.1763562, Train Acc: 0.9230769, Test Acc: 0.7894737
Epoch: 056, Train Loss: 0.1175996, Train Acc: 0.9704142, Test Acc: 0.7894737
Epoch: 057, Train Loss: 0.1124896, Train Acc: 0.9585799, Test Acc: 0.7894737
Epoch: 058, Train Loss: 0.1670421, Train Acc: 0.9349112, Test Acc: 0.7894737
Epoch: 059, Train Loss: 0.2173720, Train Acc: 0.9230769, Test Acc: 0.8421053
Epoch: 060, Train Loss: 0.0940300, Train Acc: 0.9585799, Test Acc: 0.7368421
Epoch: 061, Train Loss: 0.1285617, Train Acc: 0.9467456, Test Acc: 0.7894737
Epoch: 062, Train Loss: 0.0875130, Train Acc: 0.9822485, Test Acc: 0.7894737
Epoch: 063, Train Loss: 0.1965907, Train Acc: 0.9230769, Test Acc: 0.8421053
Epoch: 064, Train Loss: 0.2575231, Train Acc: 0.8934911, Test Acc: 0.8421053
Epoch: 065, Train Loss: 0.1325148, Train Acc: 0.9408284, Test Acc: 0.7894737
Epoch: 066, Train Loss: 0.2136918, Train Acc: 0.9112426, Test Acc: 0.7894737
Epoch: 067, Train Loss: 0.2644062, Train Acc: 0.9230769, Test Acc: 0.7894737
Epoch: 068, Train Loss: 0.1324455, Train Acc: 0.9349112, Test Acc: 0.7368421
Epoch: 069, Train Loss: 0.4165854, Train Acc: 0.7988166, Test Acc: 0.6842105
Epoch: 070, Train Loss: 0.4785154, Train Acc: 0.7869822, Test Acc: 0.6315789
Epoch: 071, Train Loss: 0.1215929, Train Acc: 0.9526627, Test Acc: 0.7368421
Epoch: 072, Train Loss: 0.0864497, Train Acc: 0.9763314, Test Acc: 0.8421053
Epoch: 073, Train Loss: 0.1191380, Train Acc: 0.9585799, Test Acc: 0.7894737
Epoch: 074, Train Loss: 0.2053908, Train Acc: 0.8994083, Test Acc: 0.7368421
Epoch: 075, Train Loss: 0.0626374, Train Acc: 0.9822485, Test Acc: 0.7894737
Epoch: 076, Train Loss: 0.0780556, Train Acc: 0.9704142, Test Acc: 0.7894737
Epoch: 077, Train Loss: 0.1811814, Train Acc: 0.9230769, Test Acc: 0.7894737
Epoch: 078, Train Loss: 0.1115899, Train Acc: 0.9408284, Test Acc: 0.7894737
Epoch: 079, Train Loss: 0.0702308, Train Acc: 0.9644970, Test Acc: 0.7894737
Epoch: 080, Train Loss: 0.0548659, Train Acc: 0.9822485, Test Acc: 0.7894737
Epoch: 081, Train Loss: 0.0706994, Train Acc: 0.9704142, Test Acc: 0.8421053
Epoch: 082, Train Loss: 0.0345400, Train Acc: 0.9940828, Test Acc: 0.7894737
Epoch: 083, Train Loss: 0.0886561, Train Acc: 0.9526627, Test Acc: 0.7368421
Epoch: 084, Train Loss: 0.1058857, Train Acc: 0.9644970, Test Acc: 0.7894737
Epoch: 085, Train Loss: 0.3688833, Train Acc: 0.8934911, Test Acc: 0.8421053
Epoch: 086, Train Loss: 0.0280488, Train Acc: 0.9940828, Test Acc: 0.7894737
Epoch: 087, Train Loss: 0.0469340, Train Acc: 0.9822485, Test Acc: 0.7894737
Epoch: 088, Train Loss: 0.0930020, Train Acc: 0.9644970, Test Acc: 0.7894737
Epoch: 089, Train Loss: 0.4611835, Train Acc: 0.8698225, Test Acc: 0.8421053
Epoch: 090, Train Loss: 0.1040420, Train Acc: 0.9526627, Test Acc: 0.7894737
