{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672674430', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672674432, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▌       | 87/344 [00:00<00:00, 868.75it/s]Pre-process:  52%|█████▏    | 178/344 [00:00<00:00, 888.07it/s]Pre-process:  78%|███████▊  | 267/344 [00:00<00:00, 887.52it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 891.23it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 339971
Epoch: 001, Train Loss: 1.0680417, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0068436, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9043941, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8078967, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7503992, Train Acc: 0.4368932, Test Acc: 0.4571429
Epoch: 006, Train Loss: 0.7108796, Train Acc: 0.5339806, Test Acc: 0.4857143
Epoch: 007, Train Loss: 0.6808340, Train Acc: 0.6051780, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6728100, Train Acc: 0.6375405, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6461563, Train Acc: 0.6051780, Test Acc: 0.5428571
Epoch: 010, Train Loss: 0.6114467, Train Acc: 0.6828479, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.5522440, Train Acc: 0.7184466, Test Acc: 0.5428571
Epoch: 012, Train Loss: 0.5058021, Train Acc: 0.7572816, Test Acc: 0.5714286
Epoch: 013, Train Loss: 0.4892399, Train Acc: 0.7734628, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.4430310, Train Acc: 0.7864078, Test Acc: 0.4857143
Epoch: 015, Train Loss: 0.3794635, Train Acc: 0.8122977, Test Acc: 0.4857143
Epoch: 016, Train Loss: 0.4515316, Train Acc: 0.7766990, Test Acc: 0.5142857
Epoch: 017, Train Loss: 0.3291894, Train Acc: 0.8576052, Test Acc: 0.4285714
Epoch: 018, Train Loss: 0.3722344, Train Acc: 0.7928803, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.3962593, Train Acc: 0.8187702, Test Acc: 0.5142857
Epoch: 020, Train Loss: 0.6740375, Train Acc: 0.7216828, Test Acc: 0.5142857
Epoch: 021, Train Loss: 0.3415325, Train Acc: 0.8576052, Test Acc: 0.5428571
Epoch: 022, Train Loss: 0.3196989, Train Acc: 0.8511327, Test Acc: 0.4571429
Epoch: 023, Train Loss: 0.3377465, Train Acc: 0.8414239, Test Acc: 0.5714286
Epoch: 024, Train Loss: 0.3874072, Train Acc: 0.8122977, Test Acc: 0.4857143
Epoch: 025, Train Loss: 0.3310003, Train Acc: 0.8478964, Test Acc: 0.5714286
Epoch: 026, Train Loss: 0.2798813, Train Acc: 0.8899676, Test Acc: 0.6000000
Epoch: 027, Train Loss: 0.2901283, Train Acc: 0.8770227, Test Acc: 0.5428571
Epoch: 028, Train Loss: 0.3318511, Train Acc: 0.8349515, Test Acc: 0.5428571
Epoch: 029, Train Loss: 0.2088507, Train Acc: 0.8964401, Test Acc: 0.5428571
Epoch: 030, Train Loss: 0.3764702, Train Acc: 0.8414239, Test Acc: 0.4857143
Epoch: 031, Train Loss: 0.1913108, Train Acc: 0.9320388, Test Acc: 0.5714286
Epoch: 032, Train Loss: 0.1537350, Train Acc: 0.9482201, Test Acc: 0.5714286
Epoch: 033, Train Loss: 0.1469505, Train Acc: 0.9352751, Test Acc: 0.5428571
Epoch: 034, Train Loss: 0.1583332, Train Acc: 0.9482201, Test Acc: 0.5428571
Epoch: 035, Train Loss: 0.1262724, Train Acc: 0.9514563, Test Acc: 0.5714286
Epoch: 036, Train Loss: 0.1243605, Train Acc: 0.9514563, Test Acc: 0.4571429
Epoch: 037, Train Loss: 0.1275767, Train Acc: 0.9482201, Test Acc: 0.5714286
Epoch: 038, Train Loss: 0.1419298, Train Acc: 0.9449838, Test Acc: 0.4571429
Epoch: 039, Train Loss: 0.1022504, Train Acc: 0.9611650, Test Acc: 0.6000000
Epoch: 040, Train Loss: 0.0929487, Train Acc: 0.9676375, Test Acc: 0.5428571
Epoch: 041, Train Loss: 0.0833701, Train Acc: 0.9773463, Test Acc: 0.5428571
Epoch: 042, Train Loss: 0.0816621, Train Acc: 0.9741100, Test Acc: 0.6571429
Epoch: 043, Train Loss: 0.0772349, Train Acc: 0.9644013, Test Acc: 0.5714286
Epoch: 044, Train Loss: 0.0965591, Train Acc: 0.9611650, Test Acc: 0.4857143
Epoch: 045, Train Loss: 0.0738790, Train Acc: 0.9805825, Test Acc: 0.5428571
Epoch: 046, Train Loss: 0.0877019, Train Acc: 0.9644013, Test Acc: 0.6285714
Epoch: 047, Train Loss: 0.0776050, Train Acc: 0.9773463, Test Acc: 0.5714286
